Letter,Title,Description
C,Coppa,"Coppa, proprietà principali
La coppa è un salume pregiato ricavato da tagli scelti del maiale. In particolare si ottiene dal muscolo ..."
C,Coppa di Parma,La coppa di Parma è un salume insignito della denominazione IGP (Indicazione Geografica Protetta) dall’Unione Europea nel 2011. Si ...
C,Coriandolo,"Coriandolo, proprietà principali
Il coriandolo è una pianta spontanea alta da 45-60 cm ampiamente diffusa nell’Europa Meridionale, ..."
C,Coriandolo fresco,"Chiamato anche come prezzemolo cinese, il coriandolo fresco è una pianta aromatica appartenente alla famiglia del cumino, del finocchio ..."
C,Coriandolo in polvere,"Il coriandolo in polvere deriva dall’omonima pianta aromatica che appartiene alla famiglia delle Apiaceae, la stessa di cui fanno parte ..."
C,Corn flakes,"I tradizionali fiocchi di mais, usati generalmente per gustose colazioni leggere e nutrienti, ottimi nel latte, nello yogurt o immersi ..."
C,Corteccia di arancio amaro contusa,
C,Corzetti,"Dalla Liguria con furore, i corzetti, o croxetti, ma anche meno propriamente picetti, hanno un’origine antichissima e sono un piatto ..."
C,Cosce di pollo,"Le cosce di pollo sono uno dei tagli del volatile più utilizzati e amati in cucina. Essendo prelibate, si prestano alla preparazione di ..."
C,Cosce di rana,"Le cosce di rana sono un alimento che, nonostante sia interessante dal punto di vista nutritivo, è ancora poco diffuso in Italia. ..."
C,Cosce di tacchino,"Cosce di tacchino, caratteristiche principali
Le cosce di tacchino rappresentano il taglio più grasso dell’animale, soprattutto se sono ..."
C,Cosciotto d'agnello,"Cosciotto d’agnello, proprietà principali
La carne d’agnello e il cosciotto d’agnello si cucinano prevalentemente a Pasqua e spesso in ..."
C,Costata di manzo,"La costata di manzo è un taglio di carne molto apprezzato, un tipo di bistecca proveniente dal bovino maschio castrato e macellato tra ..."
C,Costine di maiale,"Costine di maiale, caratteristiche principali
Le costine di maiale, conosciute anche come puntine, spuntature o costoline, ..."
C,Costolette d'agnello,Le costolette d’agnello sono un prodotto alimentare molto apprezzato in cucina consumato soprattutto nel periodo pasquale. È ricavato ...
C,Costolette di vitello,"Le costolette di vitello, chiamate anche costine, sono un taglio di carne di bovino. La carne è particolarmente saporita e comprende la ..."
C,Cotechino,"Cotechino, proprietà principali
Il cotechino prende il nome dalla cotica, ossia la cotenna di maiale, che aggiunta a carne di prima ..."
C,Cotenna di maiale,"Cotenna di maiale, proprietà principali
Al pari di fegato e animelle, anche la cotenna di maiale rientra nel quinto taglio del maiale. ..."
C,Court-bouillon,Il brodo è una base fondamentale per le preparazioni in cucina. Il court bouillon è un brodo aromatico adatto alla cottura di pesci e ...
C,Couscous,"Couscous, proprietà principali
Il termine couscous, dall’arabo kuskusu, indica piccoli granelli di semola di grano duro cotto a vapore; ..."
C,Cozze,"Cozze, proprietà principali
Nota con i termini muscolo nelle regioni nord-occidentali italiane e peocio in quelle nord-orientali, la ..."
C,Cracker,"Cracker, proprietà principali
I cracker sono biscotti asciutti, croccanti e friabili. Di solito sono salati ma in commercio se ne ..."
C,Crauti,I crauti (in tedesco Sauerkraut) sono delle verdure ottenute dal cavolo cappuccio. Le foglie dell’ortaggio sono tagliate a piccole ...
C,Cream Whisky Devonshire,La Cream Whisky Devonshire è un liquore del Regno Unito che si ottiene con crema di latte e whisky della marca Devonshire. Il grado ...
C,Crema Baileys,"Crema Baileys, caratteristiche principali
La crema Baileys è un liquore a base di whiskey irlandese e crema di latte prodotto a Dublino ..."
C,Crema al pistacchio,"La crema al pistacchio è un ingrediente golosissimo, ottima da spalmare su una fetta di pane ma anche per preparare e farcire dolci, ..."
C,Crema di anacardi,"Crema di anacardi, caratteristiche principali
La crema di anacardi è una preparazione molto gustosa che trova ampio utilizzo in cucina ..."
C,Crema di banana,"Crema di banana, caratteristiche principali
La crema di banana si ottiene frullando il frutto, con un cucchiaio di ghiaccio tritato e ..."
C,Crema di cacao bianca,"La crema di cacao bianca è, per l’appunto, bianca con dei riflessi che tendono al giallo quasi impercettibili. È caratterizzata da un ..."
C,Crema di cacao scura,"Crema di cacao scura, caratteristiche principali
La crema di cacao scura è una crema alcolica aromatizzata dal gusto denso e corposo, ..."
C,Crema di cocco,"Crema di cocco, caratteristiche principali
La crema di cocco è un ingrediente vegetale che trova ampio spazio in cucina come sostituta ..."
C,Crema di funghi,"La crema di funghi è un prodotto perfetto per la stagione fredda, dal sapore unico e delicato, ottimo per dare un tocco in più a ..."
C,Crema di mandorle,La crema di mandorle è una crema spalmabile molto apprezzata sia per il suo sapore che per il suo apporto nutrizionale. Si ottiene ...
C,Crema di marroni,"Da non confondere con le castagne, i marroni sono molto diffusi e amati nel Lazio, nelle Marche e in Veneto, ma anche in Svizzera e in ..."
C,Crema di menta bianca,"Crema di menta bianca, proprietà principali
La crema di menta bianca, o crème de menthe, è un liquore di origine francese che si ..."
C,Crema di menta verde,"La crema di menta verde nasce in Francia, infatti il suo nome originario è “Crème de Menthe”. A renderla famosa è stata Sandra Lee, una ..."
C,Crema di nocciole,"La crema di nocciole piace praticamente a tutti, grandi e piccini indistintamente: è un peccato di gola che unisce. Sono rari i casi in ..."
C,Crema di peperoncini,"Crema di peperoncini, caratteristiche principali
La crema di peperoncini è un prodotto della nostra tradizione culinaria e in ..."
C,Crema di rafano,"La salsa al cren, o crema di rafano, è una crema a base di radice di rafano. Questo tubero viene chiamato anche cren o barbaforte, ..."
C,Crema di salmone,"La crema di salmone è un delizioso preparato a base di salmone, che può essere consumata da sola, servita come zuppa, o utilizzata come ..."
C,Crema di tartufi,"La crema di tartufi è una vera delizia, da spalmare direttamente sul pane per fare una merenda sfiziosa, da abbinare a stuzzichini vari ..."
C,Crema di tartufo e funghi,"La crema di tartufo e funghi è una crema usata come condimento solitamente per piatti di pasta, di prima portata. Di base vengono ..."
C,Crema pasticcera,"Crema pasticcera, caratteristiche principali
Crema pasticcera è il nome di un tipo di crema cotta composta da una base fatta di tuorlo ..."
C,Crema spalmabile al cioccolato,La crema spalmabile al cioccolato è l’ingrediente ideale per una colazione o una merenda golosa. Amata da grandi e piccoli in tutto il ...
C,Cremor tartaro,"Utilissimo in cucina, il cremor tartato è un lievito naturale che dona grande morbidezza e sofficità a impasti sia dolci che salati, ma ..."
C,Cremovo,Con il termine Cremovo facciamo riferimento a un vino liquoroso e aromatizzato che si ottiene dal vino Marsala con l’aggiunta del ...
C,Cren,Con il termine cren si fa riferimento alla pianta Armoracia rusticana caratterizzata da una lunga radice aromatica commestibile. È ...
C,Creoli,"Creoli, caratteristiche principali
I creoli, conosciuti anche come spaghetti alla chitarra, sono una pasta fresca all’uovo tipica ..."
C,Crepe,"Crepe, proprietà principali
A colazione, a metà mattinata, a pranzo, a merenda o a cena: c’è una crepe giusta per ogni momento della ..."
C,Crescenza,"Formaggio morbido tipico del nord Italia, la crescenza si ottiene dal latte vaccino pastorizzato e successiva stagionatura a basse ..."
C,Crescione,"Crescione, proprietà principali
Con il termine crescione si identificano diverse erbe aromatiche appartenenti all’ordine delle ..."
C,Crespelle,"Conosciute anche come crêpe, per le loro origini francesi, le crespelle sono delle cialde morbide al tatto e al palato, utilizzate ..."
C,Creste di gallo,Le creste di gallo sono un formato di pasta dalla forma bizzarra e originale e sono caratterizzate dal sapore gustoso e autentico della ...
C,Creste di pollo,"Creste di pollo, caratteristiche principali
Tra gli ingredienti più utilizzati nella cucina italiana c’è, senza ombra di dubbio, la ..."
C,Crioli,"I crioli sono originari del Molise e simili ai maccheroni alla chitarra. La loro particolarità è che vengono tagliati a mano, sono ..."
C,Croccante alle mandorle,Il croccante alle mandorle non ha bisogno di presentazioni perché si tratta di una delle preparazioni dolci più amate di sempre. È ...
C,Croissant salati,"I croissant salati sono dei cornetti conditi con diversi ingredienti, preparati sul momento, senza bisogno di una lievitazione lunga. ..."
C,Crostacei,"Crostacei, proprietà principali
Aragosta, astici, granseola, granchi, scampi, canocchie, mazzancolle, gamberoni, gamberi, gamberetti e ..."
C,Crostini di farina integrale,"Versatili e deliziosi, i crostini di farina integrale sono dadini croccanti o pezzi di mollica tostati e conditi. Vendono serviti con ..."
C,Crostini di pane,"I crostini di pane sono degli ingredienti versatili e squisiti utilizzati per arricchire tantissime preparazioni saltate, come zuppe e ..."
C,Crostoni di pane,"I crostoni di pane non sono altro che un piatto che rimanda alla tradizione contadina del nostro Paese, perché la morte loro è ..."
C,Crusca,"La crusca è il prodotto di scarto dei cereali, l’involucro fibroso che li contiene e che viene separato dalla farina attraverso il ..."
C,Crème de Cassis,"Crème de Cassis, proprietà principali
La Crème de Cassis, o liquore di Cassis, è una bevanda alcolica tipica della Borgogna, diffusa e ..."
C,Csipetke (gnocchetti),"Gli csipetke sono una varietà di pasta fresca all’uovo originaria dell’Ungheria, con la quale vengono preparate alcune ricette tipiche ..."
C,Culatello,"Culatello, proprietà principali
Considerato il re dei salumi, iI culatello è fatto con la parte alta e posteriore della coscia del ..."
C,Cumino,Il cumino è una spezia molto diffusa nella cucina indiana: oltre a essere uno degli ingredienti principali del curry presenta anche ...
C,Cumino in polvere,Il culmino in polvere è un ingrediente ricavato dall’omonima pianta erbacea annuale che viene portato sulle nostre tavole per ...
C,Cuore di palma,"Cuore di palma, proprietà principali
Il cuore di palma è un tipo di alimento ricavato dal tronco interno di alcuni tipi di palma, come ..."
C,Cuori di lattuga,I cuori di lattuga sono in assoluto gli ingredienti più freschi e salutari da portare in tavola in ogni stagione. Ricavati dai cespi di ...
C,Cuori di mare,"Cuori di mare, caratteristiche principali
I cuori di mare devono il loro nome alla forma molto particolare che presentano di profilo, ..."
C,Curaçao,"Il Curaçao è un liquore nato nell’omonima isola, che si affaccia sulle coste del Venezuela e fa parte delle Antille olandesi, nel Mar ..."
C,Curaçao arancione,Il Curaçao arancione è una tipologia del liquore chiamato Curaçao. Già caratterizzato dalla molteplicità di colori che esistono in ...
C,Curaçao blu,"Curaçao blu, proprietà principali
Il Curaçao blu è una delle varianti del Curaçao, disponibile in commercio anche nella versione ..."
C,Curcuma,"La curcuma è una spezia davvero molto apprezzata in cucina, sia per il suo aroma caldo e pungente, sia per le sue proprietà benefiche. ..."
C,Curry,"Curry, proprietà principali
In Italia con il termine curry si indica una polvere che si ottiene dalla macinazione e tostatura di ..."
D,Dado Bimby,"Il Bimby è ormai divenuto un accessorio indispensabile in cucina, il miglior alleato per preparare centinaia di ricette deliziose e ..."
D,Dado ai funghi,"Il dado viene comunemente utilizzato per cucinare minestre e risotti in maniera rapida e semplicissima, senza dover prima preparare del ..."
D,Dado di carne,"Dado di carne, caratteristiche principali
Il dado di carne è usato come base di piatti semplici ai quali è in grado di dare un sapore ..."
D,Dado di pollo,"Il dado di pollo è un preparato, che può essere fatto in casa o prodotto industrialmente, a base di carne di pollo e di verdure. Il suo ..."
D,Dado vegetale,"Dado vegetale, proprietà e valori nutrizionali
Il dado vegetale è un concentrato a base di sale, grassi – anche di palma -, aromi, ..."
D,Daikon,"Il daikon, chiamato anche ravanello cinese, giapponese o invernale, è una varietà di ravanello che arriva dall’Est dell’Asia. Ha un ..."
D,Dashes Peychaud’s bitters,"Il Dashes Peychaud’s bitters è un bitter a base di genziana e altre erbe aromatiche, dal corpo leggero: una delle sue caratteristiche ..."
D,Datteri,"Datteri, proprietà principali
I datteri sono i frutti di un tipo di palma che fruttifica solo una volta ogni due anni coltivata fin ..."
D,Dentice,"Dentice, proprietà principali
Il dentice è un pesce di mare appartenente alla famiglia degli Sparidi, proprio come il pagello, il ..."
D,Distillato di amarene,
D,Distillato di lamponi,"Il distillato di lamponi è una bevanda diffusa in particolare al Nord, in Trentino Alto Adige e Valle d’Aosta, ma apprezzata anche nel ..."
D,Ditali lisci,"Ditali lisci, caratteristiche principali
I ditali lisci fanno parte della categoria delle paste cortissime e sono realizzati con semola ..."
D,Ditalini rigati,"Un vero e proprio must della cucina italiana, un formato di pasta apprezzatissimo che può essere condito in molti modi diversi: i ..."
D,Ditaloni rigati,"Ditaloni rigati, caratteristiche principali
I ditaloni rigati derivano da un impasto di semola di grano duro e acqua. Sono poi ..."
D,Donzella,"Donzella, caratteristiche principali
La donzella, detta anche girella o pesce carabiniere, fa parte della famiglia dei Labridi. Si ..."
D,Doppio concentrato di pomodoro,"Il doppio concentrato di pomodoro conferisce colore, sapore e struttura a primi e secondi piatti della tradizione italiana che si ..."
D,Dragoncello,"Dragoncello, proprietà principali
Il dragoncello è una pianta aromatica perenne che appartiene alla grande famiglia delle Asteracee, ..."
D,Dry Gin,"Il Dry Gin è la varietà più popolare e bevuta nel mondo: il suo nome indica che la bevanda alcolica è secca, ossia non è dolce. Durante ..."
D,Dry Vermouth,"Dry Vermouth, caratteristiche principali
Il Dry Vermouth, o più semplicemente Dry Vermut, è un vino liquoroso dolce aromatizzato con ..."
E,Edamame,"Edamame, proprietà principali
Gli edamame sono fagioli di soia dalla forma allungata e un colore verde brillante. La semina, su terreni ..."
E,Eglefino,"L’eglefino è un pesce di mare, conosciuto anche con il nome di asinello (o haddock in lingua inglese). Si tratta di un pesce il cui ..."
E,Eglefino affumicato,"Eglefino affumicato, caratteristiche principali
L’eglefino affumicato deriva dal cosiddetto pesce asinello. L’affumicatura è un ..."
E,Eliche,Le eliche sono pasta corta a spirale stretta prodotta con semola di grano duro coltivato e molito in Italia e che si avvale del marchio ...
E,Emmental,"Emmental, proprietà principali
L’Emmental è un formaggio a pasta dura, prodotto con latte vaccino parzialmente scremato, crudo o ..."
E,Entrecòtes,"Entrecôtes, caratteristiche principali
Deve il suo nome alla posizione in cui si trova la parte da cui viene estratta la carne nel ..."
E,Erba cipollina,"Erba cipollina, proprietà principali
L’erba cipollina è una pianta aromatica spontanea appartenente alla famiglia delle ..."
E,Erba medica,"L’erba medica, dal nome botanico Medicago Sativa, è una pianta appartenente alla famiglia delle leguminose. Originaria dell’Asia ..."
E,Erbe aromatiche,"I loro usi sono tantissimi e accompagnano le ricette della nostra tradizione o quelle inedite e fantasiose, stiamo parlando delle erbe ..."
E,Eritritolo,
E,Essenza di senape,"Impiegata per aromatizzare e dare forma ad alcune delle più famose ricette della nostra tradizione, l‘essenza di senape è un ..."
E,Estratto di carne,"Estratto di carne, caratteristiche principali
L’estratto di carne è un ingrediente che in cucina assume un ruolo molto importante. Si ..."
E,Estratto di mandorle,"Poche gocce sono sufficienti ad aromatizzare dolci, dessert ma anche ricette esotiche: si tratta dell’estratto di mandorle, che ..."
E,Estratto di vaniglia,L’estratto di vaniglia è un ingrediente molto utilizzato in cucina e in pasticceria. È indispensabile per aromatizzare un gran numero ...
E,Estratto vegetale,
F,Fagianella,"La selvaggina presenta solitamente un gusto molto particolare, e non è apprezzata da tutti. Non è però il caso della fagianella, le cui ..."
F,Fagiano,Fagiano è il nome che viene attribuito a numerose specie di uccelli che fanno parte della famiglia dei Phasianidae (un ordine dei ...
F,Fagioli azuki,"Fagioli azuki, proprietà principali
Sempre più diffusi anche in Italia, l’azuki veniva definito il “re dei fagioli” per le sue ..."
F,Fagioli bianchi di Spagna,"I fagioli bianchi di Spagna, nome scientifico Phaseolus vulgaris, sono molto comuni sulle tavole italiane e non solo. Possono essere ..."
F,Fagioli borlotti,"Fagioli borlotti, proprietà principali
I fagioli borlotti, noti anche come fagioli cranberry, appartengono alla famiglia delle ..."
F,Fagioli cannellini,"I fagioli cannellini sono caratterizzati da una tipica forma allungata, poco ricurva e di dimensioni ridotte. Il loro colore è ..."
F,Fagioli con l'occhio,"I fagioli con l’occhio sono dei legumi perfettamente riconoscibili dall‘aspetto bizzarro e stravagante. Sono caratterizzati, infatti, ..."
F,Fagioli di Sarconi,"Fagioli di Sarconi, caratteristiche principali
I fagioli di Sarconi sono legumi che, chiaramente, appartengono alla famiglia delle ..."
F,Fagioli di soia,"I fagioli di soia, conosciuti con il nome di edamame, sono legumi provenienti dall’Asia orientale, oggi utilizzati anche nella cucina ..."
F,Fagioli neri,"Fagioli neri, caratteristiche principali
I fagioli neri sono una varietà piccola e lucida del fagiolo comune (Phaseolus vulgaris), ..."
F,Fagioli rossi,I fagioli rossi sono dei legumi piccoli e dal colore caratteristico. Vengono anche chiamati “soia rossa” anche se non hanno nulla in ...
F,Fagioli toscanelli,"I fagioli toscanelli sono dei legumi di origine antica coltivati nel nostro stivale, e più precisamente in Toscana, come il nome stesso ..."
F,Fagioli verdi,"Fagioli verdi, caratteristiche principali
I fagioli verdi, noti anche come Vigna Radiata o soia verde, si presentano in lunghi baccelli ..."
F,Fagiolini,"Fagiolini, proprietà principali
Anche se si tratta di legumi – esattamente come i vari tipi di fagioli, i ceci, le lenticchie, ..."
F,Faraona,"Faraona, proprietà principali
La faraona è una specie di gallina originaria dell’Africa occidentale che viene tradizionalmente allevata ..."
F,Farfalle,Le farfalle sono un formato di pasta corta che viene preparata pizzicando un quadrato di pasta. Il nome deriva dall’insetto di cui ...
F,Farfalline,Le farfalline sono un formato di pasta molto amato nella cucina mediterranea. Vengono utilizzate per preparare numerosi piatti e sono ...
F,Farina 0,"Farina 0, proprietà principali
La farina 0 è un prodotto che deriva dalla molitura del grano tenero, che si differenzia dalla farina di ..."
F,Farina 00,"La farina alimentare è il prodotto della macinazione di cereali (grano tenero, orzo, mais ecc.) usato per la panificazione, in ..."
F,Farina 1,"La farina 1 è un ingrediente sano e completo che si contrappone alle alternative 00 e 0, essendo meno lavorato e dunque più ricca di ..."
F,Farina Manitoba,"La farina Manitoba, chiamata anche farina americana, deriva da una varietà di grano tenero (Triticum Aestivum) che viene coltivata nel ..."
F,Farina al carbone vegetale,"Il carbone vegetale, noto anche come carbone attivo, è un prodotto derivante da un processo di pirolisi applicata a diversi tipi di ..."
F,Farina autolievitante,La farina autolievitante è un ingrediente strategico e imprescindibile per tutte le preparazioni dolci o salate che prevedono l’impiego ...
F,Farina bi-aglut,"Negli ultimi anni si pone sempre più attenzione alle esigenze di chi soffre di celiachia, quindi in commercio si trovano molti alimenti ..."
F,Farina d'avena,"Farina d’avena, proprietà principali
La farina d’avena viene ottenuta dalla macinazione dei semi dell’avena. La produzione della farina ..."
F,Farina di banane,Scegliere di utilizzare la farina di banane per la preparazione delle nostre ricette può essere una scelta strategica sia dal punto di ...
F,Farina di canapa,
F,Farina di carrube,"La farina di carrube deriva dai semi della carruba, frutto dell’albero del carrubo. Si tratta di una pianta sempreverde, diffusa in ..."
F,Farina di castagne,Ottenuto dall’essiccatura e dalla fine macinatura delle castagne (ovvero i frutti dell’albero del castagno dal nome scientifico ...
F,Farina di ceci,La farina di ceci è un prodotto molto versatile ottenuto dalla macinazione dei ceci. Si tratta di un ingrediente utilizzato sin ...
F,Farina di cocco,"La farina di cocco è una polvere fine che si ottiene dalla polpa della noce di cocco, il frutto della palma tropicale appartenente al ..."
F,Farina di farro,"Il farro è un “grano antico” con cui si produce la farina di farro. Questo cereale veniva utilizzato largamente nell’antichità, in ..."
F,Farina di grano duro,"Farina di grano duro, proprietà principali
La farina di grano duro, nota anche come semola, si ottiene dalla macinazione del cereale da ..."
F,Farina di grano saraceno,"La farina di grano saraceno si ottiene da un particolare cereale originario dell’Asia, che nel corso dei secoli è stato introdotto in ..."
F,Farina di kamut,"Il Kamut non è una varietà di cereale, ma un marchio che controlla la produzione del grano di tipo khorasan, antenato del grano duro ..."
F,Farina di mais,"La farina di mais è una polvere ricavata dal mais, cereale della famiglia delle Poaceae e coltivato sia nelle regioni tropicali sia in ..."
F,Farina di mandorle,"Realizzata dalla macinatura dei frutti del mandorlo, la farina di mandorle è un alimento gluten free utilizzato soprattutto nella ..."
F,Farina di manioca,"La farina di manioca, conosciuta anche come tapioca, cassava o yucca, deriva della pianta di manioca. In realtà quella che si trova ..."
F,Farina di miglio,"Poco diffusa in cucina, la farina di miglio è un ingrediente straordinario che conosce svariati impieghi in cucina e che conserva delle ..."
F,Farina di nocciole,"Farina di nocciole, caratteristiche principali
La farina di nocciole deriva dalla macinatura diretta dei frutti, in particolare della ..."
F,Farina di piselli,"La farina di piselli è una delle più conosciute farine di legumi, che possiedono notevoli proprietà nutritive. Viene ottenuta a seguito ..."
F,Farina di riso,"Derivato dal cereale da cui prende il nome, la farina di riso è una polvere ottenuta dalla macinazione dei semi della Oryza sativa (il ..."
F,Farina di segale,"Caratterizzata da proprietà straordinarie e virtuose, la farina di segale è un ingrediente che non può mai mancare in cucina. È scelta ..."
F,Farina di tapioca,"Se cercate un prodotto ad alta digeribilità e naturalmente privo di glutine, allora la farina di tapioca è quello che fa al caso ..."
F,Farina integrale,"La farina integrale è il risultato della macinazione dei chicchi interi di un cereale, ossia con tutte le parti del seme e non ..."
F,Farina per polenta istantanea,"Farina per polenta istantanea, proprietà principali
La farina per polenta istantanea si ottiene dalla macinazione del mais precotto a ..."
F,Farina per polenta taragna istantanea,La polenta taragna è un piatto tipico della Valtellina. Differisce dalle altre polente per il particolare mix di farine utilizzate. ...
F,Farina semintegrale,"A volte, destreggiarsi tra le tante varietà di un singolo prodotto disponibili in commercio può essere davvero difficile. È il caso ..."
F,Farro,"Farro, proprietà principali
Come il mais, la segale, l’avena, l’orzo e il riso, Il farro è un cereale della famiglia delle graminacee. ..."
F,Fasolari,"Fasolari, proprietà principali
I fasolari sono dei molluschi bivalvi che vivono a circa 15-20 m di profondità nei fondali sabbiosi, ..."
F,Fave,"Fave, proprietà principali
Proprio come i fagioli, i ceci, le lenticchie, i piselli e le cicerchie, le fave appartengono alla famiglia ..."
F,Fave di cacao,"Tutti conosciamo le fave di cacao, ingredienti dalle proprietà straordinarie e dal gusto inconfondibile, che caratterizzano in maniera ..."
F,Feccia di vino (deposito),"Non lasciatevi ingannare dal nome perché la feccia di vino, o deposito, può trasformarsi in un ingrediente strategico per arricchire ..."
F,Fecola di patate,La fecola di patate è un alimento che si ottiene attraverso l’essiccazione e la macinazione delle patate. Viene usato nella ...
F,Fegatini di pollo,"Fegatini di pollo, caratteristiche principali
I fegatini di pollo fanno parte della categoria delle frattaglie e rappresentano uno dei ..."
F,Fegato di maiale,"Il fegato di maiale è una fonte primaria di proteine ad alto valore biologico, inoltre contiene vitamine e sali minerali determinanti. ..."
F,Fegato di vitello,"Fegato di vitello, proprietà principali
Il fegato di vitello è un alimento che appartiene, come le animelle, al quinto quarto di un ..."
F,Fesa di manzo,"La fesa di manzo è uno dei tagli di carne più magri che ci sono in commercio, ed è particolarmente apprezzato per il suo sapore e per ..."
F,Fesa di tacchino,"Fesa di tacchino, proprietà principali
La fesa di tacchino è un prodotto molto diffuso nei supermercati e che fa ormai parte della ..."
F,Fesa di vitello,"La fesa di vitello è un taglio della parte interna della coscia bovina, a fibre lunghe e sottili di color rosa chiaro: è uno dei tagli ..."
F,Feta,La feta è un formaggio a pasta semidura della tradizione greca prodotto con latte fresco di pecora (80%) e di capra (20%). Tipico della ...
F,Fette biscottate,"Fette biscottate, proprietà principali
Friabili, croccanti, dolci, salate, sottili, spesse, morbide: è pressoché infinita la serie di ..."
F,Fettine di maiale,"Fettine di maiale, caratteristiche principali
Le fettine di maiale derivano da uno dei tagli magri dell’animale e, principalmente, ..."
F,Fettine di vitello,"Fettine di vitello, proprietà principali
Le fettine di vitello sono un taglio sottile e senza osso che si ricava dalla carne di vitello ..."
F,Fettuccine,Le fettuccine sono un formato di pasta all’uovo tipico dell’Italia del Nord e Centrale. Questo alimento tradizionale ancora oggi viene ...
F,Fettuccine al nero di seppia,"Una pasta prelibata, benefica e dall’aspetto inconfondibile, parliamo delle fettuccine al nero di seppia. Il cui colore, dovuto ..."
F,Fettucelle,"Le fettuccelle sono un formato di pasta lunga della tradizione gastronomica italiana. Insieme alle fettuccine, rappresentano la ..."
F,Fichi,"Fichi, proprietà principali
Nonostante i maggiormente consumati siano il fico nero, il verde e il viola – il più succoso e dolce -, si ..."
F,Fichi d'India,"Fichi d’India, proprietà principali
Originario del Messico e naturalizzato in Italia soprattutto in Sicilia, Calabria, Puglia e ..."
F,Fichi secchi,"I fichi secchi sono il prodotto derivante dal processo di essiccazione del fico, dolcissimo frutto della pianta “Ficus carica”, detta ..."
F,Fieno greco,Il fieno greco è una pianta dalle origini antiche utilizzata in ambito alimentare soprattutto in Oriente e in Nord-Africa. Conosciuta ...
F,Filetto di bue,"Il filetto di bue è un taglio di carne di manzo castrato. Questo animale viene allevato esclusivamente per la produzione di carne, la ..."
F,Filetto di coccodrillo,"Filetto di coccodrillo, proprietà principali
Un prodotto amatissimo, il filetto di coccodrillo, che ha raggiunto l’Italia solo negli ..."
F,Filetto di maiale,"Il filetto di maiale è un taglio di carne pregiato. Ha una consistenza morbida, un gusto delicato e viene utilizzato per preparare ..."
F,Filetto di manzo,Il filetto di manzo è il taglio di carne più pregiato del maschio di bue adulto. È perfetto come secondo e può essere cucinato in vari ...
F,Filetto di vitello,"Filetto di vitello, proprietà principali
Il filetto di vitello è un taglio di carne molto tenero e dalle proprietà nutrizionali davvero ..."
F,Filone di vitello,"Il filone di vitello, detto anche schienale, coincide con il midollo spinale del vitello e rientra nel quinto quarto. Dal gusto ..."
F,Finferli,"Finferli, proprietà principali
I finferli, conosciuti anche come gallinacci, galletti e gallinelle, sono funghi che si possono ..."
F,Finocchi,"Finocchi, proprietà principali
Il finocchio è una pianta erbacea coltivata in tutti i territori a clima mediterraneo. In genere si ..."
F,Finocchietto,Il finocchietto è una pianta erbacea ricavato da una pianta selvatica che cresce spontanea sulle coste del Mediterraneo. Si tratta di ...
F,Fiocchi d'avena,"Fiocchi d’avena, proprietà principali
I fiocchi d’avena sono un alimento derivato della lavorazione dell’avena, un cereale ..."
F,Fiocchi di latte,"Meglio noto come cottage cheese, i fiocchi di latte sono un prodotto estremamente diffuso nell’Europa centrale, con una diffusione ..."
F,Fiocchi di orzo,"I fiocchi di orzo sono un derivato del cereale dell’orzo, una pianta appartenente alla famiglia delle graminacee, conosciuta fin ..."
F,Fiocchi di patate,I fiocchi di patate si ottengono attraverso l’essiccazione con aria calda e la macinazione delle patate senza buccia. I tuberi vengono ...
F,Fiocchi di riso,"I fiocchi di riso sono una versione leggera e nutriente del riso. Questo cereale, consumato sin dall’antichità, è un alimento molto ..."
F,Fior di latte,Il fior di latte è un formaggio a pasta filata che viene prodotto con latte vaccino. Questo alimento spesso viene confuso e scambiato ...
F,Fiore di crisantemo,"Fiore di crisantemo, proprietà principali
Il crisantemo è un fiore noto fin dall’antichità e presente in molte zone del mondo: ..."
F,Fiorentina di vitellone,"Fiorentina di vitellone, proprietà principali
La fiorentina di vitellone è uno dei piatti tipici toscani più conosciuti al mondo. È un ..."
F,Fiori d'erica,"I fiori d’erica vengono ricavati dalla Calluna vulgaris, pianta spontanea appartenente alla famiglia delle Ericacee, molto utilizzata ..."
F,Fiori di camomilla,"Fiori di camomilla, proprietà principali
La camomilla è una pianta aromatica. Cresce naturalmente in cespugli che non superano i 50 cm ..."
F,Fiori di cappero,I fiori di cappero sono fra le piante aromatiche più apprezzate e utilizzate nella cucina mediterranea. Possiedono moltissime proprietà ...
F,Fiori di nasturzio,"I fiori di nasturzio, conosciuti anche come crescioni d’acqua, hanno delle caratteristiche che possono aiutare a prendersi cura ..."
F,Fiori di sambuco,"I fiori di sambuco, nome scientifico Sambucus nigra, sono color crema e non si dimenticano perché emanano un profumo davvero ..."
F,Fiori di zucca,"I fiori di zucca sono i fiori commestibili che appartengono alla specie Cucurbita, in particolare Cucurbita pepo che produce zucchine ..."
F,Fiori eduli,I fiori eduli sono fiori commestibili che possono essere utilizzati per scopi alimentari come sostituto degli ortaggi oppure come ...
F,Focaccia,"La focaccia è un pane basso preparato con un impasto a base di acqua, sale, lievito e farina. Si può cuocere alla brace oppure al forno ..."
F,Foglie di banano,
F,Foglie di barbabietola,"In cucina è importantissimo limitare al minimo gli sprechi, quindi perché gettare qualcosa che può essere tranquillamente mangiato? È ..."
